Scenario,Title,FinalWord,Paragraph,Questions,Correct,ScenarioType,Format,Immersion
panel,Interview panel,calm,"On entering an interview room, you are welcomed by the panel of interviewers. You are the third candidate to be seen today, and as you sit down, you feel your cheeks turning red. You think that they probably see you as calm.",Do you think the interviewers see you as a nervous person?,No,Social_NoImage,Visual,none
degree,Returning to school,small,"You have decided to go back to school for another degree. Although you have been saving for this for the past few years, you worry about not having an income while you are back in school. The likelihood that you will go broke while in school is small.",Will you become broke once you go back to school? ,No,Other,Visual,none
outfit,New outfit,sleek,You arrive at a party in a new outfit. Everyone turns to look at you as you walk in. You decide that they must think that you look sleek.,Did everyone at the party like your new outfit?,Yes,Social_NoImage,Visual,none
requirement,Class presentation,positively,"For a course requirement, you have to make a presentation to your classmates and your teacher. As you start, you stumble on your first few words. Continuing with it, you think that your performance will be evaluated positively.",Do you think others will like your presentation?,Yes,Social_Image,Visual,picture
fitting,Trying on a new outfit,polite,"You are shopping with a friend, and you try on a new outfit. As you come out of the fitting room, your friend pauses, and then, without smiling, says that you look good. Inside the fitting room, thinking back to your friend’s response, you think your friend is being polite.",Does your friend think you look nice?,No,Social_Image,Visual,picture
project,Project deadline,reasonable,"You have a big project due at the end of the week. Your work isn’t finished, but you consider taking a break to go out with friends. Taking the night off would be reasonable. ",Is it OK that you stopped working to go out with friends?  ,Yes,Other,Visual,none
turn,Turning in a paper,fine,"You are going to turn in a paper. As you walk, you glance down and realize there is a small typo on the last page of your paper. You believe that you should be fine.",Should you be troubled about the small typo?  ,No,Other,Visual,none
movie,Going to the movie theater,funny,You are watching a movie in a theater. There are many sweeping camera shots that make you feel dizzy. This sensation is funny.,Does it alarm you when you feel dizzy?,No,Physical_AnxSensitive,Visual,none
dancing,Dancing class,dancing,"You are taking a dancing class and, during a break, find yourself talking to a newcomer about your job. As you chat, you notice that you are sweating. She probably assumes this is a result of dancing.",Did the person you met at dance class think you were anxious?,No,Social_NoImage,Visual,none
interview,Job interview,excited,"You are being interviewed for a really great job. Before you walk into the room, you notice you feel shaky. You feel incredibly excited.",Does feeling shaky frighten you?,No,Physical_AnxSensitive,Visual,none
task,Finishing a task,commendable,"You have started a new job, and you are given a task that normally takes a few days, but you manage to finish it the same day. You show it to your boss, who finds only one mistake in your work. As the meeting ends, you expect he thinks your work is commendable.",Was your boss pleased with your work?,Yes,Social_NoImage,Visual,none
promote,Promoting fundraising events,convincingly,"As a member of a local charity, you are asked to promote your fundraising events on local radio. You know that the station is widely listened to. You expect that the other committee members will think you spoke convincingly.",Do you think your committee members thought you were a bad speaker? ,No,Social_NoImage,Visual,none
grandmother,Calling your grandmother,busy,"Every Monday you call your grandmother to say hello. Today is Monday, and she did not pick up the phone when you called, which is unusual. Your grandmother probably did not answer the phone because she is busy.",Is your grandmother unable to talk because she is ill?,No,Other,Visual,none
presentation,Speech for a class,tolerable,"You have to give a speech for a class you are taking, and you spend a long time preparing. As you walk into the classroom to begin your speech, your anxiety is tolerable.",Is your anxiety intolerable?,Yes,Social_Image,Visual,picture
repairs,Car repairs,fine,"Your car needs expensive repairs. You have savings but are reluctant to use them. When you pay for the car repairs, you will be fine.",Will you go bankrupt after paying for the car repairs? ,No,Other,Visual,none
hairdresser,New haircut,great,"While at the hairdresser's, you opt for a completely different haircut. When you see your friend afterwards, she gasps. Her gasp probably means that she thinks the new style makes you look great.",Does your friend like your new haircut?,Yes,Social_Image,Visual,picture
thirsty,Feeling thirsty,refreshed,"After a long day you are very thirsty, so you drink a lot of water very quickly. After a couple large gulps, you have trouble swallowing more water. You feel you are refreshed.",Are you worried that you will choke when you can't swallow any more water?,No,Physical_AnxSensitive,Visual,none
throat,Scratchy throat,thirsty,"Getting up this morning, you notice that your throat is scratchier than it usually is. You think about why this may be. You decide it is probably because you are thirsty",Will drinking some water make your throat feel better?,Yes,Physical_NonAnxSensitive,Visual,none
tissue,Waiting room,considerate,"You are sitting in a waiting room that is out of tissue. Suddenly, you sneeze into your hand. You guess that the other patients sitting near you will think you are considerate.",Do the other patients think you are disgusting?,No,Social_Image,Visual,picture
clothes,Invite to dinner,stylish,"One evening, your colleagues decide to go out to eat and ask you to join them. You accept, but will have to wear your work clothes. When you arrive, the other diners turn to look at you. You think this is because they think you look stylish.",Do you think that other diners think you are dressed inappropriately?,No,Social_NoImage,Visual,none
anniversary,Attending an anniversary dinner,friendly,"Your partner asks you to go to an anniversary dinner that your partner's company is holding. You have not met any of your partner's work colleagues before. Getting ready to go, you think that the new people you will meet will find you friendly.",Will you be disliked by your new acquaintances? ,No,Social_NoImage,Visual,none
disease,Medical test,minimal,"At your routine doctor’s appointment, you are asked to take a test for a disease. After the test, you wait for your results in the waiting room. You think the chances that you have the disease are minimal. ",Do you think the test results will say you have the disease?,No,Physical_NonAnxSensitive,Visual,none
chair,Morning meeting,easygoing,"You arrive to a morning meeting exactly on time, but you are the last one to arrive. Your coworkers look at you as you pull out your chair, and it squeaks loudly. They probably think that you are easygoing.",Do your coworkers find you strange?,No,Social_Image,Visual,picture
deadline,Completing a task,progressing,"You are new to a job, and your boss asks you to do a task. You finish it before the deadline, but make a small mistake in your work. You believe that your boss will think you are progressing.",Was your new boss pleased with your performance?,Yes,Social_Image,Visual,picture
assignment,English assignment,unreasonable,"You have an English assignment to write, and you try very hard to make sure it is comprehensive. The final copy is quite long. When your teacher reads it, you think she will judge your efforts as unreasonable.",Will your teacher judge your efforts as reasonable?,No,Social_NoImage,Visual,none
pub,Date in a pub,interesting,"You arrange to meet your date at 8 PM in a local pub. You arrive on time and find that your date is not there yet. Reflecting on your last conversation as you wait for a table, you remember that your date found you interesting.",Was your date interested in you after your last conversation?,Yes,Social_Image,Visual,picture
routine,Dental appointment,unhealthy,"You have a routine dentist appointment and find out that you need some tests to check the health of your gums and teeth. After the dentist performs the tests, you continue to lie in the dentist chair while waiting for the results. You think your teeth and gums are probably unhealthy.",Do you think you have gum disease?,Yes,Physical_NonAnxSensitive,Visual,none
restroom,Using the restroom,distracted,"On your way out from work, you stop in the restroom. As you leave the bathroom stall, your coworker passes you and gives you a funny look. Your coworker is probably distracted.",Is your coworker negatively judging you as you leave the restroom?,No,Social_Image,Visual,picture
pushups,Intensive exercise,pleased,"Yesterday you were exercising and did quite a few push-ups, which was really tough. Today, your arms feel sore. You are pleased.",Are you bothered by the soreness in your arms?,No,Physical_AnxSensitive,Visual,none
board,Writing on a board,well,"During a meeting your boss calls on you to write a few notes on the board. As you write down what she says and hope you are not mispelling any words, everyone watching you probably thinks you are doing well. ",Do your coworkers judge you negatively while you write on the board?,No,Social_Image,Visual,picture
